rank,title,artist
1,Lovin On Me,Jack Harlow
2,Cruel Summer,Taylor Swift
3,Paint The Town Red,Doja Cat
4,All I Want For Christmas Is You,Mariah Carey
5,Snooze,SZA
6,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
7,Greedy,Tate McRae
8,Rockin' Around The Christmas Tree,Brenda Lee
9,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
10,Water,Tyla
11,You Broke My Heart,Drake
12,Jingle Bell Rock,Bobby Helms
13,Last Christmas,Wham!
14,Last Night,Morgan Wallen
15,Thinkin' Bout Me,Morgan Wallen
16,A Holly Jolly Christmas,Burl Ives
17,First Person Shooter,Drake Featuring J. Cole
18,Fast Car,Luke Combs
19,Agora Hills,Doja Cat
20,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
21,Need A Favor,Jelly Roll
22,Save Me,Jelly Roll With Lainey Wilson
23,Vampire,Olivia Rodrigo
24,Lil Boo Thang,Paul Russell
25,Fukumean,Gunna
26,Evil Ways,Drake Featuring J. Cole
27,White Horse,Chris Stapleton
28,It's The Most Wonderful Time Of The Year,Andy Williams
29,IDGAF,Drake Featuring Yeat
30,Used To Be Young,Miley Cyrus
31,Dance The Night,Dua Lipa
32,Good Good,"Usher, Summer Walker & 21 Savage"
33,Houdini,Dua Lipa
34,Exes,Tate McRae
35,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin
36,What Was I Made For?,Billie Eilish
37,Stick Season,Noah Kahan
38,Monaco,Bad Bunny
39,Feliz Navidad,Jose Feliciano
40,Lose Control,Teddy Swims
41,Dial Drunk,Noah Kahan With Post Malone
42,Underneath The Tree,Kelly Clarkson
43,The Christmas Song (Merry Christmas To You),Nat King Cole
44,My Love Mine All Mine,Mitski
45,What It Is (Block Boy),Doechii Featuring Kodak Black
46,Sleigh Ride,The Ronettes
47,Flowers,Miley Cyrus
48,Santa Tell Me,Ariana Grande
49,Kill Bill,SZA
50,Virginia Beach,Drake
51,Red Button,Drake
52,The Shoe Fits,Drake
53,Pretty Little Poison,Warren Zeiders
54,I Know ?,Travis Scott
55,World On Fire,Nate Smith
56,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift
57,Harley Quinn,Fuerza Regida & Marshmello
58,Stories About My Brother,Drake
59,On My Mama,Victoria Monet
60,Wild Ones,Jessie Murph & Jelly Roll
61,Can't Have Mine,Dylan Scott
62,500lbs,Lil Tecca
63,Can't Catch Me Now,Olivia Rodrigo
64,Strangers,Kenya Grace
65,Great Gatsby,Rod Wave
66,Truck Bed,HARDY
67,Get Him Back!,Olivia Rodrigo
68,Try That In A Small Town,Jason Aldean
69,Everything I Love,Morgan Wallen
70,The Painter,Cody Johnson
71,Wick Man,Drake
72,Qlona,Karol G & Peso Pluma
73,Standing Next To You,Jung Kook
74,Slime You Out,Drake Featuring SZA
75,Bad Idea Right?,Olivia Rodrigo
76,Slut! (Taylor's Version) [From The Vault],Taylor Swift
77,Hey Driver,Zach Bryan Featuring The War And Treaty
78,Segun Quien,Maluma & Carin Leon
79,Northern Attitude,Noah Kahan With Hozier
80,Burn It Down,Parker McCollum
81,Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift
82,Perro Negro,Bad Bunny & Feid
83,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
84,Where The Wild Things Are,Luke Combs
85,Rich Men North Of Richmond,Oliver Anthony Music
86,Turks & Caicos,Rod Wave Featuring 21 Savage
87,Save Me The Trouble,Dan + Shay
88,SkeeYee,Sexyy Red
89,LaLa,Myke Towers
90,"I Swear, I Really Wanted To Make A ""Rap"" Album But...",Andre 3000
91,Style (Taylor's Version),Taylor Swift
92,El Amor de Su Vida,Grupo Frontera & Grupo Firme
93,Too Much,"The Kid LAROI, Jung Kook & Central Cee"
94,Meltdown,Travis Scott Featuring Drake
95,Surround Sound,JID Featuring 21 Savage & Baby Tate
96,Different 'Round Here,Riley Green Featuring Luke Combs
97,Bongos,Cardi B & Megan Thee Stallion
98,But I Got A Beer In My Hand,Luke Bryan
99,Calling For You,Drake Featuring 21 Savage
100,Mi Ex Tenia Razon,Karol G
